existing_identifier,source_platform,display_name,proposed_canonical_identifier,classification,ranking_movement,seeded_in_migration_2
back_squat,ios,Back Squat,back-squat,duplicate,back_squat,yes
barbell_bench_press,ios,Barbell Bench Press,barbell-bench-press,duplicate,bench_press,yes
barbell_overhead_press,ios,Barbell Overhead Press,barbell-overhead-press,alias,,no
bulgarian_split_squat,ios,Bulgarian Split Squat,bulgarian-split-squat,duplicate,,no
cable_bayesian_curl,ios,Bayesian Cable Curl,bayesian-cable-curl,duplicate,,no
cable_biceps_curl,ios,Cable Biceps Curl,cable-biceps-curl,duplicate,,no
cable_close_grip_pulldown,ios,Close-Grip Cable Pulldown,close-grip-cable-pulldown,alias,,no
cable_cross_body_triceps_extension,ios,Cross-Body Cable Triceps Extension,cross-body-cable-triceps-extension,alias,,no
cable_crossover,ios,Cable Crossover,cable-crossover,duplicate,,no
cable_crunch,ios,Cable Crunch,cable-crunch,duplicate,,yes
cable_decline_press,ios,Decline Cable Press,decline-cable-press,alias,,no
cable_drag_curl,ios,Cable Drag Curl,cable-drag-curl,alias,,no
cable_external_rotation,ios,Cable External Rotation,cable-external-rotation,duplicate,,no
cable_face_pull,ios,Cable Face Pull,cable-face-pull,duplicate,,yes
cable_fly,ios,Cable Fly,cable-fly,duplicate,,yes
cable_front_raise,ios,Cable Front Raise,cable-front-raise,duplicate,,no
cable_goblet_squat,ios,Cable Goblet Squat,cable-goblet-squat,alias,,no
cable_half_kneeling_row,ios,Half-Kneeling Cable Row,half-kneeling-cable-row,duplicate,,no
cable_high_row,ios,High Cable Row,high-cable-row,duplicate,,no
cable_high_to_low_fly,ios,High-to-Low Cable Fly,high-to-low-cable-fly,duplicate,,no
cable_hip_abduction,ios,Cable Hip Abduction,cable-hip-abduction,duplicate,,no
cable_hip_adduction,ios,Cable Hip Adduction,cable-hip-adduction,duplicate,,no
cable_incline_press,ios,Incline Cable Press,incline-cable-press,alias,,no
cable_internal_rotation,ios,Cable Internal Rotation,cable-internal-rotation,duplicate,,no
cable_kickback,ios,Cable Kickback,cable-kickback,alias,,no
cable_lateral_raise,ios,Cable Lateral Raise,cable-lateral-raise,alias,,no
cable_low_row,ios,Low Cable Row,low-cable-row,duplicate,,no
cable_low_to_high_fly,ios,Low-to-High Cable Fly,low-to-high-cable-fly,duplicate,,no
cable_lunge,ios,Cable Reverse Lunge,cable-reverse-lunge,alias,,no
cable_pallof_press,ios,Pallof Press,pallof-press,alias,,no
cable_preacher_curl,ios,Cable Preacher Curl,cable-preacher-curl,duplicate,,no
cable_pull_through,ios,Cable Pull-Through,cable-pull-through,duplicate,,no
cable_pullover,ios,Cable Pullover,cable-pullover,duplicate,,no
cable_rear_delt_fly,ios,Cable Rear Delt Fly,cable-rear-delt-fly,alias,,no
cable_reverse_curl,ios,Cable Reverse Curl,cable-reverse-curl,alias,,no
cable_reverse_grip_pulldown,ios,Reverse-Grip Cable Pulldown,reverse-grip-cable-pulldown,alias,,no
cable_reverse_grip_pushdown,ios,Reverse-Grip Triceps Pushdown,reverse-grip-triceps-pushdown,alias,,no
cable_romanian_deadlift,ios,Cable Romanian Deadlift,cable-romanian-deadlift,alias,,no
cable_rope_hammer_curl,ios,Rope Hammer Curl,rope-hammer-curl,duplicate,,no
cable_rope_pushdown,ios,Rope Triceps Pushdown,rope-triceps-pushdown,duplicate,,no
cable_shoulder_press,ios,Cable Shoulder Press,cable-shoulder-press,duplicate,,no
cable_single_arm_chest_press,ios,Single-Arm Cable Chest Press,single-arm-cable-chest-press,duplicate,,no
cable_single_arm_curl,ios,Single-Arm Cable Curl,single-arm-cable-curl,alias,,no
cable_single_arm_fly,ios,Single-Arm Cable Fly,single-arm-cable-fly,duplicate,,no
cable_single_arm_kneeling_pulldown,ios,Single-Arm Kneeling Pulldown,single-arm-kneeling-pulldown,alias,,no
cable_single_arm_pushdown,ios,Single-Arm Triceps Pushdown,single-arm-triceps-pushdown,duplicate,,no
cable_single_arm_row,ios,Single-Arm Cable Row,single-arm-cable-row,duplicate,,no
cable_skull_crusher,ios,Cable Skull Crusher,cable-skull-crusher,duplicate,,no
cable_squat,ios,Cable Squat,cable-squat,alias,,no
